TIME,GPU_ID,CPU%,MEM%,GPU%,GPUMEM%,CXLMEM%,PCI_TX_MBps,PCI_RX_MBps,PRODUCT,PCI_INFO,GPUMEM_USED_MB,GPUMEM_TOTAL_MB,CXL_PMEM_USED_MB,PERFORMANCE_STATE,GPU_TEMPERATURE_C,MODE
2023-08-04 02:15:15,0,4.6,2.4,0,0,0,0.0,0.0,NVIDIA A10,1Gen-16xlanes,530.4375,23028.0,0,P8,40,MEM.LIVE
2023-08-04 02:15:16,0,3.4,2.8,4,0,0,105.46875,2.9296875,NVIDIA A10,4Gen-16xlanes,870.5,23028.0,0,P0,41,MEM.LIVE
2023-08-04 02:15:17,0,3.4,5.0,2,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,882.5,23028.0,0,P0,42,MEM.LIVE
2023-08-04 02:15:18,0,23.1,6.6,0,0,0,0.0,58.59375,NVIDIA A10,4Gen-16xlanes,892.5,23028.0,0,P0,42,MEM.LIVE
2023-08-04 02:15:20,0,51.8,7.4,1,0,0,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,896.5,23028.0,0,P0,43,MEM.LIVE
2023-08-04 02:15:21,0,51.9,8.3,0,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,900.5,23028.0,0,P0,43,MEM.LIVE
2023-08-04 02:15:22,0,51.8,9.0,0,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,904.5,23028.0,0,P0,43,MEM.LIVE
2023-08-04 02:15:23,0,53.1,9.8,0,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,908.5,23028.0,0,P0,43,MEM.LIVE
2023-08-04 02:15:24,0,52.5,10.7,1,0,0,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,912.5,23028.0,0,P0,43,MEM.LIVE
2023-08-04 02:15:25,0,53.1,11.7,0,0,0,0.0,58.59375,NVIDIA A10,4Gen-16xlanes,916.5,23028.0,0,P0,44,MEM.LIVE
2023-08-04 02:15:26,0,53.1,12.7,0,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,922.5,23028.0,0,P0,44,MEM.LIVE
2023-08-04 02:15:27,0,51.8,13.5,0,0,0,1.953125,0.0,NVIDIA A10,4Gen-16xlanes,926.5,23028.0,0,P0,44,MEM.LIVE
2023-08-04 02:15:28,0,51.7,14.5,0,0,0,5.859375,0.0,NVIDIA A10,4Gen-16xlanes,930.5,23028.0,0,P0,44,MEM.LIVE
2023-08-04 02:15:29,0,51.7,15.5,0,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,936.5,23028.0,0,P0,44,MEM.LIVE
2023-08-04 02:15:30,0,52.0,16.4,0,0,0,0.0,66.40625,NVIDIA A10,4Gen-16xlanes,940.5,23028.0,0,P0,44,MEM.LIVE
2023-08-04 02:15:31,0,51.7,17.3,0,0,0,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,944.5,23028.0,0,P0,45,MEM.LIVE
2023-08-04 02:15:32,0,51.9,18.3,0,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,950.5,23028.0,0,P0,45,MEM.LIVE
2023-08-04 02:15:33,0,51.7,19.3,0,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,954.5,23028.0,0,P0,45,MEM.LIVE
2023-08-04 02:15:34,0,51.7,20.2,0,0,0,0.0,66.40625,NVIDIA A10,4Gen-16xlanes,958.5,23028.0,0,P0,45,MEM.LIVE
2023-08-04 02:15:36,0,52.0,21.1,0,0,0,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,964.5,23028.0,0,P0,45,MEM.LIVE
2023-08-04 02:15:37,0,51.7,22.1,0,0,0,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,968.5,23028.0,0,P0,45,MEM.LIVE
2023-08-04 02:15:38,0,51.9,23.1,0,0,0,0.9765625,0.0,NVIDIA A10,4Gen-16xlanes,972.5,23028.0,0,P0,46,MEM.LIVE
2023-08-04 02:15:39,0,51.7,24.0,0,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,978.5,23028.0,0,P0,46,MEM.LIVE
2023-08-04 02:15:40,0,51.7,25.0,0,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,982.5,23028.0,0,P0,46,MEM.LIVE
2023-08-04 02:15:41,0,52.1,25.9,1,0,0,1.953125,0.0,NVIDIA A10,4Gen-16xlanes,986.5,23028.0,0,P0,46,MEM.LIVE
2023-08-04 02:15:42,0,51.8,26.9,1,0,0,0.0,0.0,NVIDIA A10,4Gen-16xlanes,992.5,23028.0,0,P0,46,MEM.LIVE
2023-08-04 02:15:43,0,51.9,27.5,1,0,0,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,996.5,23028.0,0,P0,46,MEM.LIVE
2023-08-04 02:15:44,0,51.7,28.3,1,0,0,0.0,65.4296875,NVIDIA A10,4Gen-16xlanes,998.5,23028.0,0,P0,46,MEM.LIVE
2023-08-04 02:15:45,0,11.7,28.7,99,80,0,849.609375,10726.5625,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,50,MEM.LIVE
2023-08-04 02:15:46,0,3.3,28.7,100,81,0,848.6328125,18.5546875,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,51,MEM.LIVE
2023-08-04 02:15:47,0,3.4,28.7,100,78,0,1521.484375,3410.15625,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,52,MEM.LIVE
2023-08-04 02:15:48,0,3.5,28.7,100,79,0,4.8828125,15148.4375,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,53,MEM.LIVE
2023-08-04 02:15:50,0,3.4,28.7,100,84,0,849.609375,18.5546875,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,54,MEM.LIVE
2023-08-04 02:15:51,0,3.5,28.7,100,86,0,849.609375,761.71875,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,55,MEM.LIVE
2023-08-04 02:15:52,0,4.0,28.7,100,80,0,214.84375,757.8125,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,55,MEM.LIVE
2023-08-04 02:15:53,0,3.5,28.7,100,83,0,849.609375,760.7421875,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,56,MEM.LIVE
2023-08-04 02:15:54,0,3.3,28.7,100,79,0,4.8828125,757.8125,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,56,MEM.LIVE
2023-08-04 02:15:55,0,3.4,28.7,100,79,0,849.609375,10583.0078125,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,57,MEM.LIVE
2023-08-04 02:15:56,0,3.4,28.7,100,79,0,848.6328125,18.5546875,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,57,MEM.LIVE
2023-08-04 02:15:57,0,3.4,28.7,100,84,0,849.609375,10727.5390625,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,57,MEM.LIVE
2023-08-04 02:15:58,0,3.5,28.7,99,80,0,857.421875,18.5546875,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,58,MEM.LIVE
2023-08-04 02:15:59,0,3.3,28.7,93,77,0,849.609375,10726.5625,NVIDIA A10,4Gen-16xlanes,3944.5,23028.0,0,P0,58,MEM.LIVE
2023-08-04 02:16:00,0,3.4,28.9,96,81,0,3954.1015625,0.0,NVIDIA A10,4Gen-16xlanes,4166.5,23028.0,0,P0,58,MEM.LIVE
2023-08-04 02:16:01,0,64.0,29.1,100,65,0,1442.3828125,14.6484375,NVIDIA A10,4Gen-16xlanes,7784.5,23028.0,0,P0,59,MEM.LIVE
2023-08-04 02:16:02,0,20.8,29.2,100,52,0,442.3828125,13.671875,NVIDIA A10,4Gen-16xlanes,7784.5,23028.0,0,P0,60,MEM.LIVE
2023-08-04 02:16:03,0,72.1,29.3,100,50,0,3.90625,12.6953125,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,60,MEM.LIVE
2023-08-04 02:16:05,0,48.7,29.5,100,65,0,2027.34375,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,60,MEM.LIVE
2023-08-04 02:16:06,0,32.4,29.5,100,50,0,1496.09375,14.6484375,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,60,MEM.LIVE
2023-08-04 02:16:07,0,78.2,29.7,100,66,0,3.90625,12.6953125,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,61,MEM.LIVE
2023-08-04 02:16:08,0,33.8,29.8,100,64,0,1316.40625,11.71875,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,62,MEM.LIVE
2023-08-04 02:16:09,0,48.1,29.9,100,47,0,3.90625,13.671875,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,62,MEM.LIVE
2023-08-04 02:16:10,0,72.9,30.1,94,68,0,4.8828125,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,62,MEM.LIVE
2023-08-04 02:16:11,0,23.3,30.1,100,52,0,549.8046875,22.4609375,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,63,MEM.LIVE
2023-08-04 02:16:12,0,63.7,30.3,100,46,0,2.9296875,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,63,MEM.LIVE
2023-08-04 02:16:13,0,57.9,30.4,100,65,0,7.8125,32.2265625,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,63,MEM.LIVE
2023-08-04 02:16:14,0,22.9,30.5,100,48,0,4.8828125,17.578125,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,64,MEM.LIVE
2023-08-04 02:16:15,0,80.1,30.6,97,48,0,2.9296875,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5,23028.0,0,P0,64,MEM.LIVE
