TIME,i,j,k
2023-08-04 02:15:44,0,0,0
2023-08-04 02:15:44,0,0,1
2023-08-04 02:15:44,0,0,2
2023-08-04 02:15:44,0,0,3
2023-08-04 02:15:44,0,1,0
2023-08-04 02:15:45,0,1,1
2023-08-04 02:15:45,0,1,2
2023-08-04 02:15:45,0,1,3
2023-08-04 02:15:45,0,2,0
2023-08-04 02:15:45,0,2,1
2023-08-04 02:15:45,0,2,2
2023-08-04 02:15:45,0,2,3
2023-08-04 02:15:45,0,3,0
2023-08-04 02:15:45,0,3,1
2023-08-04 02:15:45,0,3,2
2023-08-04 02:15:45,0,3,3
2023-08-04 02:15:45,0,4,0
2023-08-04 02:15:45,0,4,1
2023-08-04 02:15:45,0,4,2
2023-08-04 02:15:45,0,4,3
2023-08-04 02:15:45,0,5,0
2023-08-04 02:15:45,0,5,1
2023-08-04 02:15:45,0,5,2
2023-08-04 02:15:45,0,5,3
2023-08-04 02:15:45,0,6,0
2023-08-04 02:15:45,0,6,1
2023-08-04 02:15:45,0,6,2
2023-08-04 02:15:45,0,6,3
2023-08-04 02:15:46,0,7,0
2023-08-04 02:15:46,0,7,1
2023-08-04 02:15:46,0,7,2
2023-08-04 02:15:46,0,7,3
2023-08-04 02:15:46,0,8,0
2023-08-04 02:15:46,0,8,1
2023-08-04 02:15:46,0,8,2
2023-08-04 02:15:46,0,8,3
2023-08-04 02:15:46,0,9,0
2023-08-04 02:15:46,0,9,1
2023-08-04 02:15:46,0,9,2
2023-08-04 02:15:46,0,9,3
2023-08-04 02:15:46,0,10,0
2023-08-04 02:15:46,0,10,1
2023-08-04 02:15:46,0,10,2
2023-08-04 02:15:46,0,10,3
2023-08-04 02:15:46,0,11,0
2023-08-04 02:15:46,0,11,1
2023-08-04 02:15:46,0,11,2
2023-08-04 02:15:46,0,11,3
2023-08-04 02:15:46,0,12,0
2023-08-04 02:15:46,0,12,1
2023-08-04 02:15:46,0,12,2
2023-08-04 02:15:46,0,12,3
2023-08-04 02:15:46,0,13,0
2023-08-04 02:15:46,0,13,1
2023-08-04 02:15:46,0,13,2
2023-08-04 02:15:46,0,13,3
2023-08-04 02:15:46,0,14,0
2023-08-04 02:15:46,0,14,1
2023-08-04 02:15:46,0,14,2
2023-08-04 02:15:46,0,14,3
2023-08-04 02:15:46,0,15,0
2023-08-04 02:15:47,0,15,1
2023-08-04 02:15:47,0,15,2
2023-08-04 02:15:47,0,15,3
2023-08-04 02:15:47,0,16,0
2023-08-04 02:15:47,0,16,1
2023-08-04 02:15:47,0,16,2
2023-08-04 02:15:47,0,16,3
2023-08-04 02:15:47,0,17,0
2023-08-04 02:15:47,0,17,1
2023-08-04 02:15:47,0,17,2
2023-08-04 02:15:47,0,17,3
2023-08-04 02:15:47,0,18,0
2023-08-04 02:15:47,0,18,1
2023-08-04 02:15:47,0,18,2
2023-08-04 02:15:47,0,18,3
2023-08-04 02:15:47,0,19,0
2023-08-04 02:15:47,0,19,1
2023-08-04 02:15:47,0,19,2
2023-08-04 02:15:47,0,19,3
2023-08-04 02:15:47,0,20,0
2023-08-04 02:15:47,0,20,1
2023-08-04 02:15:47,0,20,2
2023-08-04 02:15:47,0,20,3
2023-08-04 02:15:47,0,21,0
2023-08-04 02:15:47,0,21,1
2023-08-04 02:15:47,0,21,2
2023-08-04 02:15:47,0,21,3
2023-08-04 02:15:47,0,22,0
2023-08-04 02:15:47,0,22,1
2023-08-04 02:15:47,0,22,2
2023-08-04 02:15:47,0,22,3
2023-08-04 02:15:47,0,23,0
2023-08-04 02:15:47,0,23,1
2023-08-04 02:15:47,0,23,2
2023-08-04 02:15:47,0,23,3
2023-08-04 02:15:48,0,24,0
2023-08-04 02:15:48,0,24,1
2023-08-04 02:15:48,0,24,2
2023-08-04 02:15:48,0,24,3
2023-08-04 02:15:48,0,25,0
2023-08-04 02:15:48,0,25,1
2023-08-04 02:15:48,0,25,2
2023-08-04 02:15:48,0,25,3
2023-08-04 02:15:48,0,26,0
2023-08-04 02:15:48,0,26,1
2023-08-04 02:15:48,0,26,2
2023-08-04 02:15:48,0,26,3
2023-08-04 02:15:48,0,27,0
2023-08-04 02:15:48,0,27,1
2023-08-04 02:15:48,0,27,2
2023-08-04 02:15:48,0,27,3
2023-08-04 02:15:48,0,28,0
2023-08-04 02:15:48,0,28,1
2023-08-04 02:15:48,0,28,2
2023-08-04 02:15:48,0,28,3
2023-08-04 02:15:48,0,29,0
2023-08-04 02:15:48,0,29,1
2023-08-04 02:15:48,0,29,2
2023-08-04 02:15:48,0,29,3
2023-08-04 02:15:48,0,30,0
2023-08-04 02:15:48,0,30,1
2023-08-04 02:15:48,0,30,2
2023-08-04 02:15:48,0,30,3
2023-08-04 02:15:48,0,31,0
2023-08-04 02:15:48,0,31,1
2023-08-04 02:15:48,0,31,2
2023-08-04 02:15:48,0,31,3
2023-08-04 02:15:48,0,32,0
2023-08-04 02:15:49,0,32,1
2023-08-04 02:15:49,0,32,2
2023-08-04 02:15:49,0,32,3
2023-08-04 02:15:49,0,33,0
2023-08-04 02:15:49,0,33,1
2023-08-04 02:15:49,0,33,2
2023-08-04 02:15:49,0,33,3
2023-08-04 02:15:49,0,34,0
2023-08-04 02:15:49,0,34,1
2023-08-04 02:15:49,0,34,2
2023-08-04 02:15:49,0,34,3
2023-08-04 02:15:49,0,35,0
2023-08-04 02:15:49,0,35,1
2023-08-04 02:15:49,0,35,2
2023-08-04 02:15:49,0,35,3
2023-08-04 02:15:49,0,36,0
2023-08-04 02:15:49,0,36,1
2023-08-04 02:15:49,0,36,2
2023-08-04 02:15:49,0,36,3
2023-08-04 02:15:49,0,37,0
2023-08-04 02:15:49,0,37,1
2023-08-04 02:15:49,0,37,2
2023-08-04 02:15:49,0,37,3
2023-08-04 02:15:49,0,38,0
2023-08-04 02:15:49,0,38,1
2023-08-04 02:15:49,0,38,2
2023-08-04 02:15:49,0,38,3
2023-08-04 02:15:49,0,39,0
2023-08-04 02:15:49,0,39,1
2023-08-04 02:15:49,0,39,2
2023-08-04 02:15:49,0,39,3
2023-08-04 02:15:49,0,40,0
2023-08-04 02:15:49,0,40,1
2023-08-04 02:15:49,0,40,2
2023-08-04 02:15:50,0,40,3
2023-08-04 02:15:50,0,41,0
2023-08-04 02:15:50,0,41,1
2023-08-04 02:15:50,0,41,2
2023-08-04 02:15:50,0,41,3
2023-08-04 02:15:50,0,42,0
2023-08-04 02:15:50,0,42,1
2023-08-04 02:15:50,0,42,2
2023-08-04 02:15:50,0,42,3
2023-08-04 02:15:50,0,43,0
2023-08-04 02:15:50,0,43,1
2023-08-04 02:15:50,0,43,2
2023-08-04 02:15:50,0,43,3
2023-08-04 02:15:50,0,44,0
2023-08-04 02:15:50,0,44,1
2023-08-04 02:15:50,0,44,2
2023-08-04 02:15:50,0,44,3
2023-08-04 02:15:50,0,45,0
2023-08-04 02:15:50,0,45,1
2023-08-04 02:15:50,0,45,2
2023-08-04 02:15:50,0,45,3
2023-08-04 02:15:50,0,46,0
2023-08-04 02:15:50,0,46,1
2023-08-04 02:15:50,0,46,2
2023-08-04 02:15:50,0,46,3
2023-08-04 02:15:50,0,47,0
2023-08-04 02:15:50,0,47,1
2023-08-04 02:15:50,0,47,2
2023-08-04 02:15:50,0,47,3
2023-08-04 02:15:50,0,48,0
2023-08-04 02:15:50,0,48,1
2023-08-04 02:15:50,0,48,2
2023-08-04 02:15:50,0,48,3
2023-08-04 02:15:50,0,49,0
2023-08-04 02:15:51,0,49,1
2023-08-04 02:15:51,0,49,2
2023-08-04 02:15:51,0,49,3
2023-08-04 02:15:51,0,50,0
2023-08-04 02:15:51,0,50,1
2023-08-04 02:15:51,0,50,2
2023-08-04 02:15:51,0,50,3
2023-08-04 02:15:51,0,51,0
2023-08-04 02:15:51,0,51,1
2023-08-04 02:15:51,0,51,2
2023-08-04 02:15:51,0,51,3
2023-08-04 02:15:51,0,52,0
2023-08-04 02:15:51,0,52,1
2023-08-04 02:15:51,0,52,2
2023-08-04 02:15:51,0,52,3
2023-08-04 02:15:51,0,53,0
2023-08-04 02:15:51,0,53,1
2023-08-04 02:15:51,0,53,2
2023-08-04 02:15:51,0,53,3
2023-08-04 02:15:51,0,54,0
2023-08-04 02:15:51,0,54,1
2023-08-04 02:15:51,0,54,2
2023-08-04 02:15:51,0,54,3
2023-08-04 02:15:51,0,55,0
2023-08-04 02:15:51,0,55,1
2023-08-04 02:15:51,0,55,2
2023-08-04 02:15:51,0,55,3
2023-08-04 02:15:51,0,56,0
2023-08-04 02:15:51,0,56,1
2023-08-04 02:15:51,0,56,2
2023-08-04 02:15:51,0,56,3
2023-08-04 02:15:51,0,57,0
2023-08-04 02:15:51,0,57,1
2023-08-04 02:15:51,0,57,2
2023-08-04 02:15:52,0,57,3
2023-08-04 02:15:52,0,58,0
2023-08-04 02:15:52,0,58,1
2023-08-04 02:15:52,0,58,2
2023-08-04 02:15:52,0,58,3
2023-08-04 02:15:52,0,59,0
2023-08-04 02:15:52,0,59,1
2023-08-04 02:15:52,0,59,2
2023-08-04 02:15:52,0,59,3
2023-08-04 02:15:52,0,60,0
2023-08-04 02:15:52,0,60,1
