TIME,GPU_ID,CPU%,MEM%,GPU%,GPUMEM%,CXLMEM%,PCI_TX_MBps,PCI_RX_MBps,PRODUCT,PCI_INFO,GPUMEM_USED_MB,GPUMEM_TOTAL_MB,CXL_PMEM_USED_MB,PERFORMANCE_STATE,GPU_TEMPERATURE_C,MODE
2023-08-01 04:03:56,0,4.3,2.5,0,0,0.9380019274012207,0.0,0.0,NVIDIA A10,1Gen-16xlanes,533.1875,23028.0,0,P8,38,ALL*
2023-08-01 04:03:57,0,3.2,2.6,4,0,1.1063028684247416,0.9765625,0.9765625,NVIDIA A10,4Gen-16xlanes,868.5,23028.0,0,P0,40,ALL*
2023-08-01 04:03:58,0,3.4,3.5,2,0,1.9784655452053699,0.0,0.0,NVIDIA A10,4Gen-16xlanes,878.5,23028.0,0,P0,41,ALL*
2023-08-01 04:03:59,0,3.6,4.5,0,0,3.0111420503177064,0.0,0.0,NVIDIA A10,4Gen-16xlanes,886.5,23028.0,0,P0,41,ALL*
2023-08-01 04:04:00,0,28.4,5.2,0,0,3.7182675914720824,5.859375,7.8125,NVIDIA A10,4Gen-16xlanes,892.5,23028.0,0,P0,41,ALL*
2023-08-01 04:04:01,0,52.0,5.7,0,0,4.202467352106169,0.0,0.0,NVIDIA A10,4Gen-16xlanes,894.5,23028.0,0,P0,41,ALL*
2023-08-01 04:04:02,0,53.8,6.2,0,0,4.658516034276618,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,898.5,23028.0,0,P0,42,ALL*
2023-08-01 04:04:03,0,52.1,6.6,0,0,5.111415961703876,0.0,14.6484375,NVIDIA A10,4Gen-16xlanes,902.5,23028.0,0,P0,42,ALL*
2023-08-01 04:04:04,0,51.7,7.1,0,0,5.591104525638584,0.0,0.0,NVIDIA A10,4Gen-16xlanes,906.5,23028.0,0,P0,42,ALL*
2023-08-01 04:04:05,0,51.9,7.6,0,0,6.07876791649018,0.0,0.0,NVIDIA A10,4Gen-16xlanes,908.5,23028.0,0,P0,42,ALL*
2023-08-01 04:04:06,0,51.7,8.2,0,0,6.656561384216806,0.0,66.40625,NVIDIA A10,4Gen-16xlanes,914.5,23028.0,0,P0,43,ALL*
2023-08-01 04:04:08,0,51.7,8.7,0,0,7.1577462545713715,0.0,0.0,NVIDIA A10,4Gen-16xlanes,916.5,23028.0,0,P0,43,ALL*
2023-08-01 04:04:09,0,51.9,9.2,0,0,7.638948642901844,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,920.5,23028.0,0,P0,43,ALL*
2023-08-01 04:04:10,0,52.1,9.7,0,0,8.14053316289689,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,924.5,23028.0,0,P0,43,ALL*
2023-08-01 04:04:11,0,51.9,10.2,0,0,8.66978130990014,0.0,0.0,NVIDIA A10,4Gen-16xlanes,928.5,23028.0,0,P0,44,ALL*
2023-08-01 04:04:12,0,51.7,10.7,0,0,9.185317235526552,0.0,0.0,NVIDIA A10,4Gen-16xlanes,932.5,23028.0,0,P0,44,ALL*
2023-08-01 04:04:13,0,51.8,11.2,0,0,9.691591583499678,0.9765625,0.0,NVIDIA A10,4Gen-16xlanes,936.5,23028.0,0,P0,44,ALL*
2023-08-01 04:04:14,0,51.9,11.7,0,0,10.198713673134431,1.953125,0.0,NVIDIA A10,4Gen-16xlanes,940.5,23028.0,0,P0,44,ALL*
2023-08-01 04:04:15,0,51.8,12.3,0,0,10.715000455661142,0.0,0.0,NVIDIA A10,4Gen-16xlanes,944.5,23028.0,0,P0,44,ALL*
2023-08-01 04:04:16,0,51.7,12.8,0,0,11.23676122720294,0.0,0.0,NVIDIA A10,4Gen-16xlanes,946.5,23028.0,0,P0,44,ALL*
2023-08-01 04:04:17,0,51.8,13.3,0,0,11.748527730083898,5.859375,0.0,NVIDIA A10,4Gen-16xlanes,950.5,23028.0,0,P0,45,ALL*
2023-08-01 04:04:18,0,51.8,13.8,0,0,12.255126036477717,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,954.5,23028.0,0,P0,45,ALL*
2023-08-01 04:04:19,0,51.8,14.3,0,0,12.781879400876747,1.953125,0.0,NVIDIA A10,4Gen-16xlanes,958.5,23028.0,0,P0,45,ALL*
2023-08-01 04:04:20,0,51.8,14.8,0,0,13.30153292885964,0.0,0.0,NVIDIA A10,4Gen-16xlanes,962.5,23028.0,0,P0,45,ALL*
2023-08-01 04:04:21,0,51.8,15.4,0,0,13.82177684835688,5.859375,0.0,NVIDIA A10,4Gen-16xlanes,966.5,23028.0,0,P0,45,ALL*
2023-08-01 04:04:23,0,51.8,15.9,0,0,14.315377458488664,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,970.5,23028.0,0,P0,45,ALL*
2023-08-01 04:04:24,0,51.9,16.4,0,0,14.852294639880856,0.0,0.0,NVIDIA A10,4Gen-16xlanes,974.5,23028.0,0,P0,46,ALL*
2023-08-01 04:04:25,0,51.9,16.9,0,0,15.370055887369043,0.0,0.0,NVIDIA A10,4Gen-16xlanes,978.5,23028.0,0,P0,46,ALL*
2023-08-01 04:04:26,0,51.9,17.4,0,0,15.885316296955427,5.859375,0.0,NVIDIA A10,4Gen-16xlanes,982.5,23028.0,0,P0,46,ALL*
2023-08-01 04:04:27,0,51.7,17.9,0,0,16.381856754063786,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,986.5,23028.0,0,P0,46,ALL*
2023-08-01 04:04:28,0,52.1,18.4,0,0,16.892672575224204,0.9765625,1.953125,NVIDIA A10,4Gen-16xlanes,988.5,23028.0,0,P0,46,ALL*
2023-08-01 04:04:29,0,51.9,19.0,0,0,17.416704083359647,5.859375,6.8359375,NVIDIA A10,4Gen-16xlanes,992.5,23028.0,0,P0,46,ALL*
2023-08-01 04:04:30,0,51.9,19.5,0,0,17.951886421994296,5.859375,6.8359375,NVIDIA A10,4Gen-16xlanes,996.5,23028.0,0,P0,47,ALL*
