TIME,GPU_ID,CPU%,MEM%,GPU%,GPUMEM%,CXLMEM%,PCI_TX_MBps,PCI_RX_MBps,PRODUCT,PCI_INFO,GPUMEM_USED_MB, GPUMEM_TOTAL_MB,CXL_PMEM_USED_MB,PERFORMANCE_STATE,GPU_TEMPERATURE_C
2023-07-14 07:58:38,0,3.3,55.6,0,0,99.55590443492154,0.9765625,0.9765625,NVIDIA A10,1Gen-16xlanes,530.375, 23028.0,8.0,P8,52
2023-07-14 07:58:39,0,2.4,55.9,6,0,99.55800259572464,1.953125,0.9765625,NVIDIA A10,4Gen-16xlanes,872.5, 23028.0,8.0,P0,54
2023-07-14 07:58:40,0,2.4,57.4,2,0,99.55800259572464,0.0,0.0,NVIDIA A10,4Gen-16xlanes,882.5, 23028.0,8.0,P0,54
2023-07-14 07:58:41,0,19.1,58.7,0,0,99.55687025497377,1.953125,16.6015625,NVIDIA A10,4Gen-16xlanes,892.5, 23028.0,8.0,P0,54
2023-07-14 07:58:42,0,50.3,59.9,1,0,99.55649785413858,0.9765625,16.6015625,NVIDIA A10,4Gen-16xlanes,900.5, 23028.0,8.0,P0,55
2023-07-14 07:58:43,0,50.4,61.1,1,0,99.55613150860154,1.953125,0.0,NVIDIA A10,4Gen-16xlanes,910.5, 23028.0,8.0,P0,55
2023-07-14 07:58:45,0,50.5,62.3,1,0,99.55600434734075,0.0,66.40625,NVIDIA A10,4Gen-16xlanes,918.5, 23028.0,8.0,P0,55
2023-07-14 07:58:46,0,50.3,63.4,1,0,99.55581360544954,0.9765625,0.0,NVIDIA A10,4Gen-16xlanes,926.5, 23028.0,8.0,P0,55
2023-07-14 07:58:47,0,50.2,64.6,0,0,99.55581360544954,0.0,0.0,NVIDIA A10,4Gen-16xlanes,936.5, 23028.0,8.0,P0,55
2023-07-14 07:58:48,0,50.3,65.7,1,0,99.55581360544954,0.0,66.40625,NVIDIA A10,4Gen-16xlanes,944.5, 23028.0,8.0,P0,55
2023-07-14 07:58:49,0,50.4,66.9,1,0,99.55541395577276,5.859375,0.0,NVIDIA A10,4Gen-16xlanes,952.5, 23028.0,8.0,P0,55
2023-07-14 07:58:50,0,50.5,68.0,1,0,99.55525046272318,0.0,20.5078125,NVIDIA A10,4Gen-16xlanes,962.5, 23028.0,8.0,P0,56
2023-07-14 07:58:51,0,50.3,69.2,1,0,99.55505972083199,1.953125,16.6015625,NVIDIA A10,4Gen-16xlanes,970.5, 23028.0,8.0,P0,56
2023-07-14 07:58:52,0,50.3,70.4,1,0,99.55505972083199,1.953125,16.6015625,NVIDIA A10,4Gen-16xlanes,978.5, 23028.0,8.0,P0,56
2023-07-14 07:58:54,0,50.4,71.6,0,0,99.55505972083199,0.0,0.0,NVIDIA A10,4Gen-16xlanes,988.5, 23028.0,8.0,P0,56
2023-07-14 07:58:55,0,50.4,72.8,1,0,99.55505972083199,5.859375,6.8359375,NVIDIA A10,4Gen-16xlanes,996.5, 23028.0,8.0,P0,56
2023-07-14 07:58:56,0,23.9,73.5,8,0,99.55486897894079,46.875,506.8359375,NVIDIA A10,4Gen-16xlanes,3224.5, 23028.0,8.0,P0,56
2023-07-14 07:58:57,0,1.9,73.6,99,79,99.55486897894079,849.609375,761.71875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,60
2023-07-14 07:58:58,0,1.9,73.6,99,80,99.5546782370496,4.8828125,16207.03125,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,61
2023-07-14 07:58:59,0,2.0,73.6,99,80,99.5546782370496,848.6328125,17.578125,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,61
2023-07-14 07:59:00,0,2.2,73.6,99,80,99.55448749515841,5.859375,759.765625,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,62
2023-07-14 07:59:02,0,1.9,73.6,99,81,99.55448749515841,849.609375,10726.5625,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,63
2023-07-14 07:59:03,0,1.8,73.6,100,79,99.55448749515841,685.546875,1270.5078125,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,63
2023-07-14 07:59:04,0,2.0,73.6,100,78,99.55448749515841,849.609375,1448.2421875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,64
2023-07-14 07:59:05,0,1.9,73.6,100,78,99.55429675326722,848.6328125,18.5546875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,64
2023-07-14 07:59:06,0,1.9,73.6,99,78,99.55429675326722,764.6484375,757.8125,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,65
2023-07-14 07:59:07,0,1.8,73.6,100,79,99.55429675326722,1025.390625,1089.84375,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,65
2023-07-14 07:59:08,0,2.0,73.6,100,79,99.55410601137602,4.8828125,17883.7890625,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,65
2023-07-14 07:59:10,0,2.3,73.6,100,79,99.55391526948483,849.609375,18.5546875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,66
2023-07-14 07:59:11,0,2.0,73.6,90,74,99.55391526948483,1987.3046875,756.8359375,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,66
2023-07-14 07:59:12,0,1.8,73.8,47,29,99.55372452759364,4.8828125,20.5078125,NVIDIA A10,4Gen-16xlanes,6758.5, 23028.0,8.0,P0,66
2023-07-14 07:59:13,0,77.5,74.0,100,56,99.55372452759364,3.90625,11816.40625,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,66
2023-07-14 07:59:14,0,28.3,74.1,100,65,99.55334304381127,9464.84375,15.625,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,67
2023-07-14 07:59:15,0,44.3,74.1,100,45,99.55315230192006,3.90625,11.71875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,68
2023-07-14 07:59:17,0,71.1,74.3,100,74,99.55294339413449,2.9296875,9.765625,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,68
2023-07-14 07:59:18,0,23.0,74.3,100,64,99.55277990108489,13693.359375,9449.21875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,68
2023-07-14 07:59:19,0,49.9,74.4,100,45,99.55277990108489,3.90625,11.71875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,69
2023-07-14 07:59:20,0,69.2,74.5,100,67,99.5525891591937,3.90625,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,69
2023-07-14 07:59:21,0,21.9,74.6,100,65,99.55239841730251,2.9296875,32.2265625,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,69
2023-07-14 07:59:22,0,54.6,74.6,100,41,99.55239841730251,2.9296875,6875.9765625,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,70
2023-07-14 07:59:23,0,64.6,74.8,100,64,99.55239841730251,3.90625,12.6953125,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,70
2023-07-14 07:59:25,0,23.7,74.8,100,65,99.55221070306038,5.859375,13.671875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,70
2023-07-14 07:59:26,0,55.4,74.9,100,47,99.55221070306038,2.9296875,11.71875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,71
2023-07-14 07:59:27,0,63.9,75.0,100,67,99.55221070306038,3.90625,11.71875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,71
