TIME,GPU_ID,CPU%,MEM%,GPU%,GPUMEM%,CXLMEM%,PCI_TX_MBps,PCI_RX_MBps,PRODUCT,PCI_INFO,GPUMEM_USED_MB,GPUMEM_TOTAL_MB,CXL_PMEM_USED_MB,PERFORMANCE_STATE,GPU_TEMPERATURE_C,MODE
2023-07-28 00:13:46,0,7.7,1.5,0,0,0.46954307262962114,0.0,0.0,NVIDIA A10,4Gen-16xlanes,530.375,23028.0,0,P0,45,CXL-SIM
2023-07-28 00:13:47,0,6.4,1.6,0,0,0.7912819517666133,1.953125,2.9296875,NVIDIA A10,4Gen-16xlanes,812.5,23028.0,0,P0,46,CXL-SIM
2023-07-28 00:13:48,0,6.4,2.3,0,0,2.8796583903144266,0.0,0.0,NVIDIA A10,4Gen-16xlanes,874.5,23028.0,0,P0,47,CXL-SIM
2023-07-28 00:13:49,0,6.4,3.2,1,0,5.757032710250647,0.0,0.0,NVIDIA A10,4Gen-16xlanes,882.5,23028.0,0,P0,47,CXL-SIM
2023-07-28 00:13:50,0,13.3,4.0,2,0,8.102142900288332,0.0,0.0,NVIDIA A10,4Gen-16xlanes,890.5,23028.0,0,P0,47,CXL-SIM
2023-07-28 00:13:51,0,54.4,4.4,0,0,9.272080705112518,0.0,0.0,NVIDIA A10,4Gen-16xlanes,892.5,23028.0,0,P0,47,CXL-SIM
2023-07-28 00:13:52,0,55.1,4.8,0,0,10.55107529731841,0.0,0.0,NVIDIA A10,4Gen-16xlanes,896.5,23028.0,0,P0,48,CXL-SIM
2023-07-28 00:13:53,0,55.1,5.2,0,0,11.688711984844435,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,898.5,23028.0,0,P0,48,CXL-SIM
2023-07-28 00:13:54,0,54.9,5.6,0,0,12.940794532965466,0.9765625,1.953125,NVIDIA A10,4Gen-16xlanes,902.5,23028.0,0,P0,48,CXL-SIM
2023-07-28 00:13:55,0,55.1,6.1,0,0,14.275588298071305,0.0,58.59375,NVIDIA A10,4Gen-16xlanes,906.5,23028.0,0,P0,48,CXL-SIM
2023-07-28 00:13:56,0,55.0,6.4,0,0,15.398196771875472,0.0,0.0,NVIDIA A10,4Gen-16xlanes,908.5,23028.0,0,P0,48,CXL-SIM
2023-07-28 00:13:57,0,54.9,6.8,0,0,16.578331103083006,0.9765625,0.0,NVIDIA A10,4Gen-16xlanes,910.5,23028.0,0,P0,48,CXL-SIM
2023-07-28 00:13:59,0,54.9,7.2,0,0,17.81195327337275,0.0,0.0,NVIDIA A10,4Gen-16xlanes,914.5,23028.0,0,P0,49,CXL-SIM
2023-07-28 00:14:00,0,55.0,7.7,0,0,19.10256814935954,1.953125,0.0,NVIDIA A10,4Gen-16xlanes,918.5,23028.0,0,P0,49,CXL-SIM
2023-07-28 00:14:01,0,55.1,8.1,0,0,20.503515135843724,0.0,59.5703125,NVIDIA A10,4Gen-16xlanes,920.5,23028.0,0,P0,49,CXL-SIM
2023-07-28 00:14:02,0,55.0,8.5,0,0,21.549928354710193,0.0,0.0,NVIDIA A10,4Gen-16xlanes,924.5,23028.0,0,P0,49,CXL-SIM
2023-07-28 00:14:03,0,55.0,8.9,0,0,22.687395403056936,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,926.5,23028.0,0,P0,49,CXL-SIM
2023-07-28 00:14:04,0,56.0,9.3,0,0,23.9556209366494,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,930.5,23028.0,0,P0,49,CXL-SIM
2023-07-28 00:14:05,0,56.2,9.7,0,0,25.25251852081179,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,932.5,23028.0,0,P0,50,CXL-SIM
2023-07-28 00:14:06,0,55.4,10.2,0,0,26.66459807843643,0.0,66.40625,NVIDIA A10,4Gen-16xlanes,936.5,23028.0,0,P0,50,CXL-SIM
2023-07-28 00:14:07,0,54.9,10.6,0,0,27.797239497986777,0.0,0.0,NVIDIA A10,4Gen-16xlanes,938.5,23028.0,0,P0,50,CXL-SIM
2023-07-28 00:14:08,0,54.9,11.0,0,0,29.097814617214343,0.0,58.59375,NVIDIA A10,4Gen-16xlanes,942.5,23028.0,0,P0,50,CXL-SIM
2023-07-28 00:14:09,0,54.9,11.4,0,0,30.187216221673815,0.0,0.0,NVIDIA A10,4Gen-16xlanes,944.5,23028.0,0,P0,50,CXL-SIM
2023-07-28 00:14:10,0,54.8,11.8,0,0,31.458277152977157,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,948.5,23028.0,0,P0,50,CXL-SIM
2023-07-28 00:14:11,0,55.0,12.2,0,0,32.747183520086885,0.0,0.0,NVIDIA A10,4Gen-16xlanes,950.5,23028.0,0,P0,50,CXL-SIM
2023-07-28 00:14:12,0,54.8,12.6,0,0,33.9589949387545,0.0,0.0,NVIDIA A10,4Gen-16xlanes,954.5,23028.0,0,P0,50,CXL-SIM
2023-07-28 00:14:14,0,54.7,13.1,0,0,35.22477282133159,0.0,0.0,NVIDIA A10,4Gen-16xlanes,958.5,23028.0,0,P0,50,CXL-SIM
2023-07-28 00:14:15,0,55.0,13.4,0,0,36.362485240634086,1.953125,0.0,NVIDIA A10,4Gen-16xlanes,960.5,23028.0,0,P0,51,CXL-SIM
2023-07-28 00:14:16,0,54.9,13.8,0,0,37.55996820719439,0.0,15.625,NVIDIA A10,4Gen-16xlanes,962.5,23028.0,0,P0,51,CXL-SIM
2023-07-28 00:14:17,0,54.2,14.2,0,0,38.62857386583637,5.859375,0.0,NVIDIA A10,4Gen-16xlanes,966.5,23028.0,0,P0,51,CXL-SIM
2023-07-28 00:14:18,0,53.6,14.5,0,0,39.667444199766855,0.0,14.6484375,NVIDIA A10,4Gen-16xlanes,968.5,23028.0,0,P0,51,CXL-SIM
2023-07-28 00:14:19,0,54.5,15.0,0,0,40.909969397697914,5.859375,0.0,NVIDIA A10,4Gen-16xlanes,972.5,23028.0,0,P0,51,CXL-SIM
2023-07-28 00:14:20,0,54.9,15.4,0,0,42.14012608189658,0.0,0.0,NVIDIA A10,4Gen-16xlanes,974.5,23028.0,0,P0,51,CXL-SIM
2023-07-28 00:14:21,0,55.0,15.8,0,0,43.43422159032974,0.0,0.0,NVIDIA A10,4Gen-16xlanes,976.5,23028.0,0,P0,51,CXL-SIM
2023-07-28 00:14:22,0,54.8,16.2,0,0,44.529751410140825,0.0,16.6015625,NVIDIA A10,4Gen-16xlanes,980.5,23028.0,0,P0,51,CXL-SIM
