TIME,GPU_ID,CPU%,MEM%,GPU%,GPUMEM%,CXLMEM%,PCI_TX_MBps,PCI_RX_MBps,PRODUCT,PCI_INFO,GPUMEM_USED_MB,GPUMEM_TOTAL_MB,CXL_PMEM_USED_MB,PERFORMANCE_STATE,GPU_TEMPERATURE_C,MODE
2024-07-12 03:23:14,0,24.0,4.2,0,0,0,0.0009765625,0.0009765625,NVIDIA A10,1Gen-16xlanes,538.9375,23028.0,0,P8,79,MEM.LIVE
2024-07-12 03:23:15,0,4.2,7.6,0,0,0,0.0,0.0009765625,NVIDIA A10,4Gen-16xlanes,793.0625,23028.0,0,P0,81,MEM.LIVE
2024-07-12 03:23:16,0,4.4,16.6,2,0,0,0.0009765625,0.0009765625,NVIDIA A10,4Gen-16xlanes,805.0625,23028.0,0,P0,82,MEM.LIVE
2024-07-12 03:23:17,0,35.4,22.3,0,0,0,0.0029296875,0.01953125,NVIDIA A10,4Gen-16xlanes,813.0625,23028.0,0,P0,82,MEM.LIVE
2024-07-12 03:23:18,0,44.8,27.6,0,0,0,0.00390625,0.013671875,NVIDIA A10,4Gen-16xlanes,819.0625,23028.0,0,P0,83,MEM.LIVE
2024-07-12 03:23:19,0,42.4,32.7,0,0,0,1.251953125,0.01171875,NVIDIA A10,4Gen-16xlanes,1691.0625,23028.0,0,P0,83,MEM.LIVE
2024-07-12 03:23:20,0,4.5,33.1,100,70,0,0.4755859375,0.9033203125,NVIDIA A10,4Gen-16xlanes,1833.0625,23028.0,0,P0,86,MEM.LIVE
2024-07-12 03:23:21,0,4.3,33.1,100,69,0,1.6533203125,3.1669921875,NVIDIA A10,4Gen-16xlanes,1833.0625,23028.0,0,P0,87,MEM.LIVE
2024-07-12 03:23:22,0,4.4,33.1,100,69,0,1.296875,0.904296875,NVIDIA A10,4Gen-16xlanes,1833.0625,23028.0,0,P0,88,MEM.LIVE
2024-07-12 03:23:23,0,9.8,34.5,100,64,0,7.50390625,0.0146484375,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,88,MEM.LIVE
2024-07-12 03:23:24,0,10.3,35.1,100,47,0,0.0078125,0.0361328125,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,89,MEM.LIVE
2024-07-12 03:23:25,0,11.9,35.8,100,61,0,7.388671875,0.6376953125,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,89,MEM.LIVE
2024-07-12 03:23:26,0,12.1,36.4,100,61,0,0.6123046875,0.03125,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:28,0,11.9,37.1,100,56,0,0.005859375,7.08984375,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:29,0,12.8,37.8,100,50,0,0.0107421875,7.1025390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:30,0,11.4,38.3,100,58,0,7.5029296875,0.0146484375,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:31,0,8.6,38.8,100,39,0,0.927734375,0.0166015625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:32,0,11.0,39.4,100,46,0,0.849609375,0.029296875,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:33,0,11.3,40.0,100,55,0,0.0048828125,0.0078125,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:23:34,0,9.2,40.4,100,31,0,0.0029296875,0.005859375,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:35,0,7.5,40.8,100,33,0,0.0029296875,0.03515625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:36,0,6.4,41.0,100,26,0,0.005859375,0.005859375,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:37,0,8.0,41.3,100,20,0,0.001953125,0.0068359375,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:38,0,9.3,41.7,100,34,0,0.0029296875,0.009765625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:39,0,7.7,42.0,100,38,0,0.0068359375,0.00390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:40,0,6.7,42.2,100,19,0,0.1708984375,0.0029296875,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:41,0,7.5,42.5,100,15,0,0.0087890625,0.00390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:42,0,5.8,42.6,100,26,0,0.0078125,0.021484375,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:43,0,8.3,43.0,100,15,0,6.9775390625,4.513671875,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:44,0,7.2,43.2,100,20,0,0.00390625,0.0087890625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:45,0,6.9,43.4,100,15,0,0.00390625,0.0048828125,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:47,0,7.1,43.6,100,18,0,0.00390625,0.0078125,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:23:48,0,6.9,43.8,100,8,0,6.3544921875,7.0166015625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:49,0,5.4,43.9,100,11,0,0.0029296875,6.1943359375,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:23:50,0,8.3,44.2,100,24,0,0.001953125,0.0029296875,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:51,0,4.3,44.2,100,8,0,0.0009765625,7.078125,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:52,0,7.1,44.4,100,12,0,0.001953125,0.00390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:23:53,0,6.7,44.6,100,9,0,0.0009765625,0.00390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:54,0,4.5,44.6,100,9,0,0.0009765625,12.19140625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,90,MEM.LIVE
2024-07-12 03:23:55,0,7.7,45.0,100,25,0,0.0009765625,0.00390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:23:56,0,5.4,45.1,100,9,0,0.0009765625,0.0068359375,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:23:57,0,5.8,45.2,100,13,0,0.001953125,0.00390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:23:58,0,7.6,45.5,100,13,0,0.0009765625,0.0029296875,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:23:59,0,4.4,45.5,100,12,0,0.0009765625,0.00390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:24:00,0,6.5,45.7,100,24,0,0.001953125,0.0029296875,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:24:01,0,6.8,45.9,100,12,0,0.0009765625,0.00390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:24:02,0,4.4,45.9,100,10,0,0.0009765625,0.00390625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:24:03,0,8.2,46.2,100,20,0,0.0126953125,0.009765625,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
2024-07-12 03:24:04,0,5.8,46.3,100,11,0,0.001953125,0.0029296875,NVIDIA A10,4Gen-16xlanes,3879.0625,23028.0,0,P0,91,MEM.LIVE
