TIME,CPU%,MEM%,GPU%,GPUMEM%,CXLMEM%,PCI_TX_MBps,PCI_RX_MBps,PRODUCT,PCI_INFO,GPUMEM_USED_MB,GPUMEM_TOTAL_MB
2023-06-12 23:46:02,2.1,1.6,0,0,0.16776408082605082,0.0,0.0,Tesla T4,1Gen-16xlanes,438.625,15360.0
2023-06-12 23:46:03,1.9,1.7,6,0,0.16776408082605082,3.90625,13.671875,Tesla T4,3Gen-16xlanes,559.4375,15360.0
2023-06-12 23:46:04,2.5,2.7,1,0,0.16776408082605082,0.0,0.0,Tesla T4,3Gen-16xlanes,573.4375,15360.0
2023-06-12 23:46:05,2.4,3.9,0,0,0.16770652466896274,0.0,0.0,Tesla T4,3Gen-16xlanes,581.4375,15360.0
2023-06-12 23:46:06,36.9,4.2,0,0,0.16759141235478658,5.859375,0.0,Tesla T4,3Gen-16xlanes,587.4375,15360.0
2023-06-12 23:46:06,44.8,4.4,0,0,0.1674005682549682,0.0,16.6015625,Tesla T4,3Gen-16xlanes,587.4375,15360.0
2023-06-12 23:46:07,50.7,4.8,0,0,0.1674005682549682,0.0,0.0,Tesla T4,3Gen-16xlanes,591.4375,15360.0
2023-06-12 23:46:08,50.8,5.0,0,0,0.1674005682549682,0.0,0.0,Tesla T4,3Gen-16xlanes,593.4375,15360.0
2023-06-12 23:46:09,51.3,5.4,0,0,0.1674005682549682,0.0,0.0,Tesla T4,3Gen-16xlanes,595.4375,15360.0
2023-06-12 23:46:10,50.7,5.7,0,0,0.1674005682549682,0.9765625,0.0,Tesla T4,3Gen-16xlanes,597.4375,15360.0
2023-06-12 23:46:11,51.0,6.0,0,0,0.1674005682549682,0.0,0.0,Tesla T4,3Gen-16xlanes,599.4375,15360.0
2023-06-12 23:46:12,50.6,6.3,0,0,0.1674005682549682,0.0,66.40625,Tesla T4,3Gen-16xlanes,603.4375,15360.0
2023-06-12 23:46:13,50.7,6.7,0,0,0.1674005682549682,0.0,0.0,Tesla T4,3Gen-16xlanes,605.4375,15360.0
2023-06-12 23:46:13,50.8,7.0,0,0,0.1674005682549682,0.9765625,0.0,Tesla T4,3Gen-16xlanes,607.4375,15360.0
2023-06-12 23:46:14,50.8,7.3,0,0,0.16720972415514984,0.0,16.6015625,Tesla T4,3Gen-16xlanes,609.4375,15360.0
2023-06-12 23:46:15,51.0,7.7,0,0,0.16718548998374433,0.0,0.0,Tesla T4,3Gen-16xlanes,611.4375,15360.0
2023-06-12 23:46:16,50.8,7.9,0,0,0.16718548998374433,0.0,0.0,Tesla T4,3Gen-16xlanes,613.4375,15360.0
2023-06-12 23:46:17,50.4,8.3,1,0,0.16718548998374433,0.0,0.0,Tesla T4,3Gen-16xlanes,615.4375,15360.0
2023-06-12 23:46:18,51.0,8.6,0,0,0.16699464588392596,0.9765625,0.0,Tesla T4,3Gen-16xlanes,619.4375,15360.0
2023-06-12 23:46:19,50.9,8.9,0,0,0.16699464588392596,0.0,14.6484375,Tesla T4,3Gen-16xlanes,621.4375,15360.0
2023-06-12 23:46:20,50.7,9.2,0,0,0.16699464588392596,5.859375,6.8359375,Tesla T4,3Gen-16xlanes,623.4375,15360.0
2023-06-12 23:46:21,50.8,9.5,0,0,0.16699464588392596,0.0,0.0,Tesla T4,3Gen-16xlanes,625.4375,15360.0
2023-06-12 23:46:21,50.5,9.8,0,0,0.16680380178410759,0.9765625,0.0,Tesla T4,3Gen-16xlanes,627.4375,15360.0
2023-06-12 23:46:22,51.1,10.1,0,0,0.16679168469840483,0.0,14.6484375,Tesla T4,3Gen-16xlanes,631.4375,15360.0
2023-06-12 23:46:23,50.9,10.5,0,0,0.16679168469840483,5.859375,0.0,Tesla T4,3Gen-16xlanes,633.4375,15360.0
2023-06-12 23:46:24,51.0,10.8,0,0,0.1667432163555938,0.0,0.0,Tesla T4,3Gen-16xlanes,635.4375,15360.0
2023-06-12 23:46:25,51.0,11.1,0,0,0.1667432163555938,0.0,0.0,Tesla T4,3Gen-16xlanes,637.4375,15360.0
2023-06-12 23:46:26,60.6,11.4,14,1,0.16673109926989105,0.9765625,16.6015625,Tesla T4,3Gen-16xlanes,2209.4375,15360.0
2023-06-12 23:46:27,54.4,11.5,56,55,0.16673109926989105,191.40625,753.90625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:28,69.7,11.5,99,72,0.16673109926989105,4.8828125,13.671875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:29,75.8,11.5,80,68,0.16673109926989105,384.765625,246.09375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:29,69.9,11.5,95,76,0.16673109926989105,3.90625,6093.75,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:30,76.0,11.5,81,70,0.16673109926989105,3.90625,21.484375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:31,72.9,11.5,96,78,0.16673109926989105,847.65625,13.671875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:32,69.5,11.5,99,73,0.16673109926989105,4.8828125,753.90625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:33,76.7,11.5,87,70,0.16673109926989105,3.90625,13.671875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:34,66.2,11.5,100,74,0.16673109926989105,3.90625,16.6015625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:35,77.0,11.5,85,71,0.16673109926989105,846.6796875,11.71875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:36,66.8,11.5,99,74,0.16673109926989105,1111.328125,15.625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:36,69.1,11.5,69,58,0.16673109926989105,3.90625,670.8984375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:37,67.9,11.5,66,55,0.16673109926989105,2.9296875,13.671875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:38,60.5,11.5,86,66,0.16671898218418832,316.40625,483.3984375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:39,70.6,11.5,95,80,0.16671898218418832,855.46875,12.6953125,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:40,64.3,11.5,100,77,0.16671898218418832,353.515625,16.6015625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:41,71.5,11.5,71,53,0.16670686509848556,848.6328125,14.6484375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:42,62.7,11.5,85,70,0.16670686509848556,2.9296875,13.671875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:43,63.4,11.5,100,75,0.16670686509848556,3.90625,16.6015625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:44,73.7,11.5,67,52,0.16670686509848556,847.65625,14.6484375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:44,67.3,11.5,100,83,0.16670686509848556,774.4140625,13.671875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:45,55.2,11.5,100,76,0.16670686509848556,3.90625,19.53125,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:46,52.8,11.5,100,74,0.16670686509848556,1.953125,0.0,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:47,57.9,11.5,61,47,0.16670686509848556,145.5078125,1421.875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:48,62.0,11.5,92,68,0.16670686509848556,3.90625,1042.96875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:49,50.2,11.5,78,72,0.16670686509848556,59.5703125,726.5625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:50,68.1,11.5,66,52,0.16668263092708005,3.90625,752.9296875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:51,48.3,11.5,99,79,0.16668263092708005,2.9296875,14.6484375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:51,54.5,11.5,96,76,0.16668263092708005,3.90625,996.09375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:52,49.7,11.5,82,68,0.16668263092708005,3.90625,1763.671875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:53,62.1,11.5,90,67,0.16668263092708005,847.65625,15.625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:54,56.3,11.5,23,17,0.16668263092708005,3.90625,756.8359375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:55,69.9,11.5,94,78,0.16668263092708005,847.65625,11.71875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:56,64.6,11.5,90,67,0.16668263092708005,70.3125,18.5546875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:57,63.5,11.5,19,12,0.16668263092708005,3.90625,17.578125,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:58,49.5,11.5,29,24,0.1666705138413773,24.4140625,5433.59375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:58,70.8,11.5,90,75,0.1666705138413773,2.9296875,14.6484375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:46:59,67.0,11.5,89,64,0.1666705138413773,3.90625,20.5078125,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:00,62.0,11.5,60,51,0.1666705138413773,1001.953125,13.671875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:01,71.8,11.5,94,76,0.1666705138413773,3.90625,751.953125,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:02,50.2,11.5,87,73,0.1666705138413773,2.9296875,14.6484375,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:03,70.7,11.5,66,49,0.1666705138413773,46.875,752.9296875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:04,51.2,11.5,99,82,0.1666705138413773,69.3359375,1407.2265625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:05,72.7,11.5,97,75,0.1666705138413773,847.65625,12.6953125,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:05,62.5,11.5,99,73,0.1666705138413773,5.859375,753.90625,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:06,67.2,11.5,99,80,0.1666705138413773,3.90625,11.71875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:07,56.3,11.5,99,82,0.1666705138413773,3.90625,11.71875,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:08,62.1,11.5,89,70,0.1666705138413773,163.0859375,892.578125,Tesla T4,3Gen-16xlanes,3419.4375,15360.0
2023-06-12 23:47:09,72.6,11.5,90,71,0.1666705138413773,3.90625,19.53125,Tesla T4,3Gen-16xlanes,3641.4375,15360.0
2023-06-12 23:47:10,13.6,11.5,14,13,0.1666705138413773,225.5859375,4.8828125,Tesla T4,3Gen-16xlanes,3641.4375,15360.0
